interval_start_timestamp,discovery_joins,invites,vanity_joins
2021-06-02T00:00:00+00:00,0,47,0
2021-06-03T00:00:00+00:00,0,11,0
2021-06-04T00:00:00+00:00,0,21,0
2021-06-05T00:00:00+00:00,0,14,0
2021-06-06T00:00:00+00:00,0,34,0
2021-06-07T00:00:00+00:00,0,60,0
2021-06-08T00:00:00+00:00,0,15,0
2021-06-09T00:00:00+00:00,0,24,0
2021-06-10T00:00:00+00:00,0,20,0
2021-06-11T00:00:00+00:00,0,16,0
2021-06-12T00:00:00+00:00,0,75,0
2021-06-13T00:00:00+00:00,0,15,0
2021-06-14T00:00:00+00:00,0,20,0
2021-06-15T00:00:00+00:00,0,21,0
2021-06-16T00:00:00+00:00,0,29,0
2021-06-17T00:00:00+00:00,0,19,0
2021-06-18T00:00:00+00:00,0,26,0
2021-06-19T00:00:00+00:00,0,17,0
2021-06-20T00:00:00+00:00,0,12,0
2021-06-21T00:00:00+00:00,0,20,0
2021-06-22T00:00:00+00:00,0,24,0
2021-06-23T00:00:00+00:00,0,24,0
2021-06-24T00:00:00+00:00,0,26,0
2021-06-25T00:00:00+00:00,0,15,0
2021-06-26T00:00:00+00:00,0,7,0
2021-06-27T00:00:00+00:00,0,116,0
2021-06-28T00:00:00+00:00,0,49,0
2021-06-29T00:00:00+00:00,0,20,0
2021-06-30T00:00:00+00:00,0,17,0
2021-07-01T00:00:00+00:00,0,94,0
2021-07-02T00:00:00+00:00,0,57,0
2021-07-03T00:00:00+00:00,0,19,0
2021-07-04T00:00:00+00:00,0,17,0
2021-07-05T00:00:00+00:00,14,68,0
2021-07-06T00:00:00+00:00,0,49,0
2021-07-07T00:00:00+00:00,0,45,0
2021-07-08T00:00:00+00:00,0,45,0
2021-07-09T00:00:00+00:00,0,42,0
2021-07-10T00:00:00+00:00,0,29,0
2021-07-11T00:00:00+00:00,1,43,0
2021-07-12T00:00:00+00:00,0,169,0
2021-07-13T00:00:00+00:00,0,132,0
2021-07-14T00:00:00+00:00,0,118,0
2021-07-15T00:00:00+00:00,0,67,0
2021-07-16T00:00:00+00:00,0,53,0
2021-07-17T00:00:00+00:00,0,43,0
2021-07-18T00:00:00+00:00,0,31,0
2021-07-19T00:00:00+00:00,0,40,0
2021-07-20T00:00:00+00:00,0,38,0
2021-07-21T00:00:00+00:00,0,333,0
2021-07-22T00:00:00+00:00,5,34,0
2021-07-23T00:00:00+00:00,0,66,0
2021-07-24T00:00:00+00:00,0,59,0
2021-07-25T00:00:00+00:00,0,144,0
2021-07-26T00:00:00+00:00,0,31,0
2021-07-27T00:00:00+00:00,0,44,0
2021-07-28T00:00:00+00:00,0,73,0
2021-07-29T00:00:00+00:00,4,66,0
2021-07-30T00:00:00+00:00,0,28,0
2021-07-31T00:00:00+00:00,0,28,0
2021-08-01T00:00:00+00:00,0,24,0
2021-08-02T00:00:00+00:00,0,87,0
2021-08-03T00:00:00+00:00,0,22,0
2021-08-04T00:00:00+00:00,0,81,0
2021-08-05T00:00:00+00:00,0,85,0
2021-08-06T00:00:00+00:00,0,39,0
2021-08-07T00:00:00+00:00,0,33,0
2021-08-08T00:00:00+00:00,0,39,0
2021-08-09T00:00:00+00:00,1,73,0
2021-08-10T00:00:00+00:00,0,28,0
2021-08-11T00:00:00+00:00,0,27,0
2021-08-12T00:00:00+00:00,0,97,0
2021-08-13T00:00:00+00:00,0,29,0
2021-08-14T00:00:00+00:00,0,33,0
2021-08-15T00:00:00+00:00,0,172,0
2021-08-16T00:00:00+00:00,0,31,0
2021-08-17T00:00:00+00:00,0,42,0
2021-08-18T00:00:00+00:00,0,43,0
2021-08-19T00:00:00+00:00,1,80,0
2021-08-20T00:00:00+00:00,0,77,0
2021-08-21T00:00:00+00:00,0,29,0
2021-08-22T00:00:00+00:00,0,33,0
2021-08-23T00:00:00+00:00,0,36,0
2021-08-24T00:00:00+00:00,4,136,0
2021-08-25T00:00:00+00:00,0,30,0
2021-08-26T00:00:00+00:00,0,34,0
2021-08-27T00:00:00+00:00,0,25,0
2021-08-28T00:00:00+00:00,0,32,0
2021-08-29T00:00:00+00:00,0,66,0
2021-08-30T00:00:00+00:00,0,32,0
2021-08-31T00:00:00+00:00,0,48,0
2021-09-01T00:00:00+00:00,0,34,0
2021-09-02T00:00:00+00:00,0,46,0
2021-09-03T00:00:00+00:00,0,51,0
2021-09-04T00:00:00+00:00,0,31,0
2021-09-05T00:00:00+00:00,0,31,0
2021-09-06T00:00:00+00:00,0,38,0
2021-09-07T00:00:00+00:00,0,38,0
2021-09-08T00:00:00+00:00,0,38,0
2021-09-09T00:00:00+00:00,2,111,0
2021-09-10T00:00:00+00:00,0,133,0
2021-09-11T00:00:00+00:00,0,17,0
2021-09-12T00:00:00+00:00,0,19,0
2021-09-13T00:00:00+00:00,1,25,0
2021-09-14T00:00:00+00:00,0,34,0
2021-09-15T00:00:00+00:00,0,258,0
2021-09-16T00:00:00+00:00,0,189,0
2021-09-17T00:00:00+00:00,0,31,0
2021-09-18T00:00:00+00:00,0,39,0
2021-09-19T00:00:00+00:00,0,24,0
2021-09-20T00:00:00+00:00,0,243,0
2021-09-21T00:00:00+00:00,0,40,0
2021-09-22T00:00:00+00:00,0,48,0
2021-09-23T00:00:00+00:00,0,83,0
2021-09-24T00:00:00+00:00,0,33,0
2021-09-25T00:00:00+00:00,0,29,0
2021-09-26T00:00:00+00:00,0,23,0
2021-09-27T00:00:00+00:00,0,24,0
