@everyone,ChillBot,24/7 🔊 | premium,24/7 🔊 | staging,Collab.Land,24/7 🔊,discord-audit,sesh,Owlets,IC2.0 - #6 Culture Purpose People,IC2.0 - #6 Representation and Diversity Domain Experts,IC2.0 - #5 Future of Engineering & Product Domain Expert,IC2.0 - #4 Methodologist - Partnering with Index Coop,IC2.0 - #3 Leadership & Governance,IC2.0 - #2 token distribution Domain Experts,IC2.0 - #1 Future of Finance Domain Expert,IC2.0 - Index 2.0 stewards,Price Bots,FLIDiscordBot,new role,Women Dream Team,APAC BD Team,APAC,1kx,FLI fee split team,Market research team,LangOps WG,DOWLs,Product WG,Engineering WG,BD WG,POC WG,Meta-governance team,Treasury WG,Funding Council,wizard,analytics-wizards,interns,Server Booster,Copper Owls,Bronze Owls,Silver Owls,Gold Owls,Working Group Leads,Blue Owls,AMA moderator,Governance Reps,Community Facilitators,Community Managers,Hooty,Server Manager,Titans of Data,DeFi Pulse,Index SourceCred,Set Team,Dyno,carl-bot,MEE6,Zapier,Gas bot,FLI bots,Index Bots,Xenon,admin bot,Moderator
prof. tolnic,ChillBot,24/7 🔊 | premium,24/7 🔊 | staging,Collab.Land,24/7 🔊,discord-audit,sesh,prof. tolnic,prof. tolnic,pujimak_in | Index,ncitron,Jo K,Accelerated Capital,iluscavia,Accelerated Capital,Eric M,,FLIDiscordBot,DOC,EmmaBWaldron,louisa,silverbuddha,pet3rpan,over-analyser,patb,ela,codeMathics,over-analyser,ncitron,patb,prof. tolnic,Lavi,Accelerated Capital,gregdocter,Eric M,DOC,mkc306,prof. tolnic,Cryptocurious,BØDA,Eric M,ncitron,over-analyser,paul007,Crypto_Texan,Mringz | Index,Pepperoni Joe | Index,Eric M,Hooty,TeeWhy,Thomas Hepner | Titans of Data,Jo K,Index SourceCred,prof. tolnic,Dyno,Carl-bot,MEE6,Zapier,ETH Gas Price,BTC2xFLI,MVI,Xenon,Owlie-D-Cooper,prof. tolnic
Eric M,,,,,,,,Eric M,helmass,DarkForestCapital,darlin,fallow8,ncitron,metfanmike,gregdocter,rashmiashok,,,gosuto,rashmiashok,Derrickdirkchen,fanqie,,allan.g,DOC,laridsaldanha,pujimak_in | Index,allan.g,0xModene,fallow8,Eric M,ncitron,Mr Madila | Index Coop,DarkForestCapital,blockdev,makesy,bbbydll,pujimak_in | Index,roxthefox,ela,tg,over-analyser,fallow8,pet3rpan,,sixtykeys,defi jesus,pujimak_in | Index,,,kiba,! Etienne | DeFiPulse,,Richard L,,,,,,ETHFLI_Bot,BED,,,Richard L
FredBoat♪♪,,,,,,,,FredBoat♪♪,radioflyerMQ,Chase Chapman,edwardk,! Etienne | DeFiPulse,fallow8,BigSky | Index,Elliott,pujimak_in | Index,,,loren_huang,louisa,alemac852,Owen zhang🐕,,Puniaviision,4Aquatic,pujimak_in | Index,Marek,Puniaviision,defi jesus,pujimak_in | Index,iluscavia,cedrick,Pepperoni Joe | Index,Puniaviision,Ashiskumar,gosuto,Aziz,Cavalier_Eth,ümit.eth,ümit.eth,DOC,fallow8,Mr Madila | Index Coop,wishful_cynic,,mel.eth,afromac,0xMitz,,,,scott_L,,darlin,,,,,,,DPI,,,gregdocter
discord-audit,,,,,,,,discord-audit,,juanna,Puniaviision,allan.g,iluscavia,Elliott,helmass,Vanita,,,Don | ETH to 10k,aakansha,Tudou,louisa,,BigSky | Index,CryptoNova311.eth,Vanita,seblavoie,catjam,dylan,metfanmike,pujimak_in | Index,TrotNixonLine,DarkForestCapital,dylan,pujimak_in | Index,MrGreat,Alks,TrotNixonLine,silverbuddha,William X,benj,Mr Madila | Index Coop,metfanmike,Lsquared,,,,TeeWhy,,,,celey | DeFi Pulse,,gregdocter,,,,,,,INDEX,,,Pepperoni Joe | Index
axie10,,,,,,,,axie10,,catjam,Cavalier_Eth,Cavalier_Eth,metfanmike,helmass,PrairieFI,Pepperoni Joe | Index,,,Deep,Vanita,0xMitz,Derrickdirkchen,,Mringz | Index,Hammad1412,Tudou,earth_maze,afromac,Abel Tedros | GameB Ventures,4Aquatic,JMT NFT,kiba,Elliott,Hammad1412,JD🕶,mkc306,Shivansh,,Vinxe89,patb,NFT Zakk,metfanmike,BigSky | Index,neil,,,,beeradley,,,,! nassim | DefiPulse,,Puniaviision,,,,,,,,,,Puniaviision
BØDA,,,,,,,,BØDA,,mrvls_brkfst,dylan,Mringz | Index,helmass,Matthew_Graham,Matthew_Graham,! Etienne | DeFiPulse,,,aehrenberg,Chase Chapman,JamesEquity,alemac852,,afromac,,Yudai l Fracton Ventures,earth2travis,Abel Tedros | GameB Ventures,,BigSky | Index,0xMitz,,PrairieFI,,Cavalier_Eth,loren_huang,ql,,0xjbourne,PVMihalache,Accelerated Capital,Pepperoni Joe | Index,Cavalier_Eth,,,,,Owlie-D-Cooper,,,,,,justinkchen,,,,,,,,,,justinkchen
glenestic,,,,,,,,glenestic,,,Abel Tedros | GameB Ventures,Thomas Hepner | Titans of Data,catjam,Hammad1412,Hammad1412,DarkForestCapital,,,jackiepoo,0xMitz,Don | ETH to 10k,pujimak_in | Index,,Felix | {Set},,閲覧用,Emil_Eth,verto0912,,Mringz | Index,helmass,,dylan,,TeeWhy,Don | ETH to 10k,,,rashmiashok,blockdev,Lavi,DarkForestCapital,Mringz | Index,,,,,,,,,,,sassal,,,,,,,,,,sassal
PoloGwei,,,,,,,,PoloGwei,,,asoong,0xLucas,afromac,jdcook,,0xMitz,,,,june,Maxxx8,Tudou,,verto0912,,"Nakamomo(Ɛ, 3)",Static121,,,TrotNixonLine,Cavalier_Eth,,Matthew_Graham,,Don | ETH to 10k,Deep,,,laridsaldanha,louisa,codeMathics,BigSky | Index,dylan,,,,,,,,,,,dylan,,,,,,,,,,dylan
joyanta,,,,,,,,joyanta,,,jdcook,scott_L,Lemonade Alpha,jackiepoo,,afromac,,,,juanna,Lanks,0xMitz,,TrotNixonLine,,crypto-sova,Dev.,,,,afromac,,Ahuja,,Nifty Ninja,sidhemraj,,,Corddry,Leon,ncitron,0xModene,Lemonade Alpha,,,,,,,,,,,bweickmann,,,,,,,,,,bweickmann
